pair,model_a,model_b,tenor,horizon,regime,n,dmh_stat,dmh_pval,sig,favours
htboost_t_vs_catboost,htboost_t,catboost,30Y,63,ZIRP,1791,0.16200593671714025,0.8713194631467742,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,126,COVID,523,1.770040007122848,0.07730415103285945,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,126,GFC,668,-0.7693396997297081,0.4419640239075613,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,126,Hiking,1009,-2.1826690880103623,0.029290367171540807,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,30Y,126,ZIRP,1793,1.6703082283461217,0.09503302950719741,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,252,COVID,522,1.0172768676174806,0.30949389677849465,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,252,Hiking,919,-1.6223461004950253,0.10507261556643427,False,tie
htboost_t_vs_catboost,htboost_t,catboost,30Y,252,ZIRP,1795,-0.14931982649449996,0.8813180547588554,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,1,COVID,518,-2.1377289846727665,0.033007088399653564,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,5Y,1,GFC,604,0.15180752503622305,0.8793895224080301,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,1,Hiking,909,-0.8285703838001072,0.40756529122032137,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,1,ZIRP,1509,-1.0762929942739894,0.28196839698406323,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,5,COVID,515,-1.0661776959247145,0.2868438625557866,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,5,GFC,451,-2.082132909930383,0.03789474689987463,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,5Y,5,Hiking,700,-3.1374521347682087,0.0017757962172448023,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,5Y,5,ZIRP,1218,-1.1843702187853071,0.2364977964973112,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,21,COVID,619,0.5696585059876843,0.5691163424551604,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,21,GFC,747,-0.172069068287985,0.8634298972130745,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,21,Hiking,1111,-4.428786096081725,1.0412987015562719e-05,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,5Y,21,ZIRP,1859,-2.289537527340662,0.022159813710818283,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,5Y,63,COVID,618,-0.3196969761590268,0.7493062721329513,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,63,GFC,746,-0.8325071317723116,0.40538953946884115,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,63,Hiking,1076,-4.703837877238035,2.8853961683444244e-06,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,5Y,63,ZIRP,1860,-1.03366253413114,0.3014284017659181,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,126,COVID,618,-0.9648464938576103,0.33499971076958424,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,126,GFC,745,1.1470216555624864,0.25174139838232956,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,126,Hiking,1023,-3.7159695357644313,0.00021339786970809137,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,5Y,126,ZIRP,1864,-2.001926511928258,0.04543738059171372,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,5Y,252,COVID,601,-0.2742996457682797,0.7839487683234946,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,252,Hiking,933,1.1759120812907258,0.2399302939402176,False,tie
htboost_t_vs_catboost,htboost_t,catboost,5Y,252,ZIRP,1864,-0.17131510327156993,0.8639946100259059,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,1,COVID,437,-0.8008887500786002,0.423632260899937,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,1,GFC,520,-0.2857607837968792,0.775175361176419,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,1,Hiking,909,0.9664619987604551,0.33407039124238647,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,1,ZIRP,1436,-4.399935023128828,1.1628469902972566e-05,True,catboost
catboost_vs_xgboost,catboost,xgboost,10Y,5,COVID,354,-0.6233726518148297,0.5334422254409323,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,5,GFC,385,-0.6322420792740233,0.5276049547536346,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,5,Hiking,700,-0.003348749430816281,0.9973290449798673,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,5,ZIRP,1074,0.2354580403518233,0.8138981723153461,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,21,COVID,542,-0.760068063706879,0.44754499548842075,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,21,GFC,637,-0.8422592777651372,0.3999594451961693,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,21,Hiking,1111,3.562905278779088,0.00038234107548349876,True,xgboost
catboost_vs_xgboost,catboost,xgboost,10Y,21,ZIRP,1790,1.9439480895395735,0.05205830880387381,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,63,COVID,541,-0.5507580424746137,0.5820273239312116,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,63,GFC,625,0.9091119428411203,0.363642031462752,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,63,Hiking,1076,-1.1093978692630098,0.26750669366886914,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,63,ZIRP,1790,-2.698711525506044,0.0070263175046499544,True,catboost
catboost_vs_xgboost,catboost,xgboost,10Y,126,COVID,541,-0.38313643163183764,0.7017693855202038,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,126,GFC,625,1.3181659092652773,0.18793177655986915,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,126,Hiking,1023,3.5110595443755948,0.0004658081145405641,True,xgboost
catboost_vs_xgboost,catboost,xgboost,10Y,126,ZIRP,1793,0.42323027831547844,0.6721780440094451,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,252,COVID,524,-0.803521857945401,0.42203820518290214,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,252,GFC,663,2.914738410846083,0.003680100107747967,True,xgboost
catboost_vs_xgboost,catboost,xgboost,10Y,252,Hiking,933,0.657046077058062,0.5113135026228861,False,tie
catboost_vs_xgboost,catboost,xgboost,10Y,252,ZIRP,1793,-0.46665885744600716,0.6408006958559277,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,1,COVID,418,-2.810073515647505,0.0051862585902903045,True,catboost
catboost_vs_xgboost,catboost,xgboost,15Y,1,GFC,536,-2.191379803966972,0.02885473978273991,True,catboost
catboost_vs_xgboost,catboost,xgboost,15Y,1,Hiking,888,0.23020422742117197,0.8179861562686987,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,1,ZIRP,1451,-0.7679199935005899,0.4426597531176617,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,5,COVID,315,-1.554648175301725,0.12103718159283479,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,5,GFC,401,1.922535885794414,0.05524819506515603,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,5,Hiking,662,-1.8087472261775401,0.0709445378982848,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,5,ZIRP,1091,2.13758186917492,0.03277267335990505,True,xgboost
catboost_vs_xgboost,catboost,xgboost,15Y,21,COVID,523,2.4079980923051094,0.016386018097299455,True,xgboost
catboost_vs_xgboost,catboost,xgboost,15Y,21,GFC,650,-0.5070437479217514,0.6122963562478696,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,21,Hiking,1092,2.3480670632754386,0.01904895515158784,True,xgboost
catboost_vs_xgboost,catboost,xgboost,15Y,21,ZIRP,1810,-0.9385521210976258,0.34808603668312155,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,63,COVID,523,-0.7014878268119457,0.4833112442443158,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,63,GFC,622,0.23675284474887265,0.8129266099244485,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,63,Hiking,1062,2.926395801197251,0.0035022370709992603,True,xgboost
catboost_vs_xgboost,catboost,xgboost,15Y,63,ZIRP,1810,1.789548941466555,0.07369367698660917,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,126,COVID,523,-0.6153374470648834,0.5386000613731771,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,126,GFC,623,1.5342134088658124,0.1254856296290442,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,126,Hiking,1017,1.3370273090912677,0.1815129991459603,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,126,ZIRP,1811,0.31871612059874904,0.7499785623970364,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,252,COVID,523,-0.36556677465071646,0.714836458032726,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,252,GFC,657,2.5720531528794477,0.010328674215472086,True,xgboost
catboost_vs_xgboost,catboost,xgboost,15Y,252,Hiking,927,-1.7555274033030708,0.07949975763503828,False,tie
catboost_vs_xgboost,catboost,xgboost,15Y,252,ZIRP,1813,-1.3678042117891427,0.17154297609727887,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,1,COVID,443,-1.773585997921918,0.07682013299156806,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,1,GFC,463,2.7348945008233447,0.006479991143380675,True,xgboost
catboost_vs_xgboost,catboost,xgboost,1Y,1,Hiking,908,5.800092880472981,9.149500085352126e-09,True,xgboost
catboost_vs_xgboost,catboost,xgboost,1Y,1,ZIRP,1451,-0.20665659097794295,0.8363070751351014,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,5,COVID,366,-2.154033530955763,0.03189164269342875,True,catboost
catboost_vs_xgboost,catboost,xgboost,1Y,5,GFC,344,3.7226639656787874,0.0002303362173324163,True,xgboost
catboost_vs_xgboost,catboost,xgboost,1Y,5,Hiking,699,-0.020115193779124987,0.9839572282706421,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,5,ZIRP,1089,-3.6459773241884332,0.0002789748068770561,True,catboost
catboost_vs_xgboost,catboost,xgboost,1Y,21,COVID,548,-0.9581794019394362,0.33839560883684283,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,21,GFC,561,0.23525101499109627,0.8140999125816248,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,21,Hiking,1109,-2.368806248356749,0.01801635421104716,True,catboost
catboost_vs_xgboost,catboost,xgboost,1Y,21,ZIRP,1810,-2.247268616314871,0.024742959856252248,True,catboost
catboost_vs_xgboost,catboost,xgboost,1Y,63,COVID,547,-1.038652353906513,0.29942618336325727,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,63,GFC,536,2.311226864719444,0.021199499348804947,True,xgboost
catboost_vs_xgboost,catboost,xgboost,1Y,63,Hiking,1074,-0.17337895869899006,0.8623862640889467,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,63,ZIRP,1810,0.797988173612405,0.42498209082218874,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,126,COVID,547,-0.9185426519894818,0.3587404260960072,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,126,GFC,514,-0.1529774765749779,0.8784761888679052,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,126,Hiking,1021,-1.285353366026056,0.1989605915611315,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,126,ZIRP,1812,-1.1780870079346268,0.2389167000999753,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,252,COVID,530,-0.4961155659240067,0.6200189393087794,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,252,GFC,520,1.973918818075023,0.04892085307607133,True,xgboost
catboost_vs_xgboost,catboost,xgboost,1Y,252,Hiking,931,0.7949177167131295,0.4268641824365892,False,tie
catboost_vs_xgboost,catboost,xgboost,1Y,252,ZIRP,1814,-0.44241745402149085,0.65823992388846,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,1,COVID,418,-1.5370622519626007,0.12503646274170602,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,1,GFC,559,-1.535417283998982,0.12524815303958195,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,1,Hiking,883,-7.527026021858337,1.281287599713399e-13,True,catboost
catboost_vs_xgboost,catboost,xgboost,30Y,1,ZIRP,1436,2.098351843058071,0.036048518838963345,True,xgboost
catboost_vs_xgboost,catboost,xgboost,30Y,5,COVID,315,-0.01661620355799208,0.9867533505928332,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,5,GFC,415,-3.9773497225598704,8.224895135719158e-05,True,catboost
catboost_vs_xgboost,catboost,xgboost,30Y,5,Hiking,657,-0.46071765906660533,0.6451538757966138,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,5,ZIRP,1077,0.7708859263300688,0.4409437858360262,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,21,COVID,523,1.096920586001758,0.2731818720562023,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,21,GFC,688,-1.8437417873246018,0.0656512561367823,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,21,Hiking,1083,2.54613333361155,0.01103006687355961,True,xgboost
catboost_vs_xgboost,catboost,xgboost,30Y,21,ZIRP,1787,1.2085031627205438,0.22701375848853045,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,63,COVID,523,-0.8547890773346175,0.3930600603891047,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,63,GFC,670,-0.021293666524945822,0.9830177453122453,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,63,Hiking,1053,1.5287290930590225,0.12663222546022584,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,63,ZIRP,1791,-0.622710311361386,0.533554225844002,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,126,COVID,523,-2.6691126460567354,0.00784194461460298,True,catboost
catboost_vs_xgboost,catboost,xgboost,30Y,126,GFC,668,-2.603157327777092,0.00944233100910785,True,catboost
catboost_vs_xgboost,catboost,xgboost,30Y,126,Hiking,1009,1.006096384600844,0.3146106567856312,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,126,ZIRP,1793,1.7996213478412582,0.07208860312436517,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,252,COVID,522,0.8833185953851054,0.3774715599656383,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,252,GFC,703,3.289525990915689,0.0010536731018380722,True,xgboost
catboost_vs_xgboost,catboost,xgboost,30Y,252,Hiking,919,1.6675021251029378,0.09575566501283755,False,tie
catboost_vs_xgboost,catboost,xgboost,30Y,252,ZIRP,1795,0.021743675780253827,0.9826548418001582,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,1,COVID,518,-0.9950222740740333,0.32019089971919107,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,1,GFC,604,-0.8288782548215985,0.4075012710801771,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,1,Hiking,909,0.03433413850802599,0.9726182483050612,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,1,ZIRP,1509,2.4941648037179824,0.01273176665886153,True,xgboost
catboost_vs_xgboost,catboost,xgboost,5Y,5,COVID,515,-0.8620392941240392,0.38906788542084836,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,5,GFC,451,-0.18697850149044914,0.8517617579310043,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,5,Hiking,700,0.46732773379876424,0.6404110619419344,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,5,ZIRP,1218,1.2984542459736168,0.19437727985487718,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,21,COVID,619,-1.3330689747287372,0.18300037610632355,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,21,GFC,747,1.5477703535075311,0.12210169584395948,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,21,Hiking,1111,3.2949830264736244,0.0010153851504060701,True,xgboost
catboost_vs_xgboost,catboost,xgboost,5Y,21,ZIRP,1859,1.389438106114354,0.16486604606870822,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,63,COVID,618,-1.8833871406663925,0.060118011461392264,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,63,GFC,746,1.5655816764676391,0.11787122132087674,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,63,Hiking,1076,-0.18067464044267725,0.8566570200200656,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,63,ZIRP,1860,0.9604125821025022,0.3369725042341444,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,126,COVID,618,-1.008249874565363,0.3137297537947447,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,126,GFC,745,-0.5718373386083987,0.5676049002015854,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,126,Hiking,1023,0.8134788675978369,0.4161330330823506,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,126,ZIRP,1864,0.4570066044774958,0.6477195799722324,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,252,COVID,601,-0.735981354964636,0.462029666758189,False,tie
catboost_vs_xgboost,catboost,xgboost,5Y,252,GFC,750,3.447103537517162,0.0005982561359017848,True,xgboost
catboost_vs_xgboost,catboost,xgboost,5Y,252,Hiking,933,1.0321004103149696,0.3022928282116499,False,tie
