validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,notebook,run_ts,model_kind,is_pooled,pca_k,alpha,l1_ratio,n_nonzero
loro,level_change,NOR_30Y,NOR,30Y,LORO_ZIRP,ZIRP,oos,2bf248e672cc,108,21,1787,0.49132624510352546,1.0,-1.3598937370684911,0.034266279500065396,0.014662997387017348,0.15008497519899205,-1.3369218854533003,0.12389718031137954,0.45069834276632514,-5.640028003470606,0.9999999901359827,2.6639319739953846,0.003861658958567604,0.7754662754530007,85,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
loro,level_change,NOR_30Y,NOR,30Y,LORO_COVID,COVID,train,2bf248e672cc,108,21,4431,0.6307831189347777,1.0,0.2262852456425033,0.017696560702856357,0.0228826295916046,0.10389846499997424,0.22663780261736,7.091707916060004,6.623590564913684e-13,4.871948703158374,5.718005254984972e-07,18.030912700535012,0.0,7.481725274280398e-69,211,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
loro,level_change,NOR_30Y,NOR,30Y,LORO_COVID,COVID,oos,2bf248e672cc,108,21,523,0.4187380497131931,1.0,-13.058462293444494,0.37365175679135315,0.02660388780114723,0.3137769316296785,-13.045005736914899,-1.2530587171885281,0.8949078307092168,-1.3918457225549052,0.9177190644833995,-3.6542105940618157,0.9998710127679721,0.9999178742053632,25,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
loro,level_change,NOR_30Y,NOR,30Y,LORO_Hiking,Hiking,train,2bf248e672cc,108,21,3912,0.6436605316973415,1.0,0.2533076164379804,0.014358867413481365,0.019353370672443762,0.09442488214006113,0.25806890920938164,6.705998279245257,1.0001666161940648e-11,4.859816994813626,6.105154935725955e-07,17.900624704683484,0.0,2.2288290191905548e-73,186,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
loro,level_change,NOR_30Y,NOR,30Y,LORO_Hiking,Hiking,oos,2bf248e672cc,108,21,1083,0.4293628808864266,1.0,-5.009354408436159,0.21412872094475668,0.036401586546629734,0.39358180358297146,-4.882400775868983,-0.665406700431845,0.7471047997687341,-6.9725949746461255,0.9999999999972979,2.144093065253497,0.016012715307765157,0.9999986148641649,52,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
loro,level_change,NOR_5Y,NOR,5Y,LORO_GFC,GFC,train,2bf248e672cc,108,21,3694,0.6513264753654575,1.0,0.24578826985316804,0.02171428258202488,0.02890465708670818,0.10944705276107346,0.24876179928769315,6.987860490396584,1.3955503419538218e-12,4.376790158132081,6.188629985209687e-06,18.580415501123706,0.0,6.773238133336148e-77,176,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
loro,level_change,NOR_5Y,NOR,5Y,LORO_GFC,GFC,oos,2bf248e672cc,108,21,1532,0.4490861618798956,1.0,-3.4177693687904327,0.13962610951127202,0.03211802277415144,0.2826758605482391,-3.3472822250952197,-1.310485509158743,0.9049841783930717,-4.387039649113059,0.9999938621255008,-2.0110417794070163,0.9778394780419182,0.9999702099226762,73,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
loro,level_change,NOR_5Y,NOR,5Y,LORO_ZIRP,ZIRP,train,2bf248e672cc,108,21,3363,0.6431757359500446,1.0,0.2885091673471589,0.027289396223629202,0.038440194509485576,0.1266032114601832,0.2900817341885401,5.079140757619433,1.8957286584964095e-07,3.6211926637878205,0.00014878850954520826,16.547238496477764,0.0,6.043213319294318e-63,160,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
loro,level_change,NOR_5Y,NOR,5Y,LORO_ZIRP,ZIRP,oos,2bf248e672cc,108,21,1859,0.5282409897794513,1.0,-2.3191990191454126,0.042470505648077264,0.012814839534696072,0.16652641973309656,-2.3141660130108317,0.07629409668503973,0.4695925611599633,-6.1267553983851375,0.9999999994539267,3.1160969055950263,0.0009163101922196049,0.007919329201600205,89,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
loro,level_change,NOR_5Y,NOR,5Y,LORO_COVID,COVID,train,2bf248e672cc,108,21,4592,0.6128048780487805,1.0,0.2314655755131444,0.02311602143006069,0.030078792563153305,0.11567922323327179,0.23148439613969252,4.493780470930451,3.4984880389332673e-06,3.1682103951963443,0.0007719352336746207,15.82404363025215,0.0,2.09424626327728e-53,219,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
