validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,notebook,run_ts,model_kind,is_pooled,pca_k,alpha,l1_ratio,n_nonzero
walk_forward,level_change,NOR_30Y,NOR,30Y,ZIRP_early,ZIRP,train,2bf248e672cc,108,5,988,0.6204453441295547,1.0,0.21882738802660973,0.004719234822903538,0.006052388663967608,0.05216650322688817,0.2202690400570093,4.771227850666904,9.155313128728082e-07,3.070734806799671,0.0010968843199514688,8.643915700916066,0.0,1.7783982791779606e-14,198,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_30Y,NOR,30Y,ZIRP_early,ZIRP,oos,2bf248e672cc,108,5,609,0.44499178981937604,1.0,-1.2404862330818625,0.0076765006509788005,0.003438926929392445,0.06984212731642808,-1.2322372090456155,-0.5474624478776985,0.707969468681454,-6.404625374509461,0.9999999998490531,-0.764010938345049,0.7775696379071697,0.9970921523155474,122,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_30Y,NOR,30Y,ZIRP_late,ZIRP,train,2bf248e672cc,108,5,1595,0.6012539184952979,1.0,0.16976145927956898,0.004192714788722288,0.005061279937304074,0.048569436275118824,0.1716097823754109,6.26696886166223,1.84071868858382e-10,3.82022372693215,6.922377977698671e-05,9.055131005072663,0.0,2.983880762897236e-16,319,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_30Y,NOR,30Y,ZIRP_late,ZIRP,oos,2bf248e672cc,108,5,468,0.47435897435897434,1.0,-5.993222316309503,0.016769521178256017,0.002398272735897435,0.1145210358531479,-5.99233282655855,0.38513134863788756,0.35007005158551774,-11.041758026620455,1.0,,,0.8760968193860678,94,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_30Y,NOR,30Y,COVID,COVID,train,2bf248e672cc,108,5,2064,0.5876937984496124,1.0,0.14707627079525165,0.0037929265538617068,0.004453508304457363,0.045837071040210425,0.14832839762182615,6.391890926938671,8.19233569870903e-11,3.8859765639493475,5.256774383811548e-05,9.436880194349078,0.0,8.179533129310979e-16,413,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_30Y,NOR,30Y,COVID,COVID,oos,2bf248e672cc,108,5,315,0.45714285714285713,1.0,-5.426220030432197,0.025660427605869184,0.003997105523809524,0.10123972849500579,-5.419752356553494,-0.8531570893183873,0.8032139020274536,-2.453593143684822,0.9926566344739061,-1.1592361037907364,0.8768200206325225,0.9427450974786645,63,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_30Y,NOR,30Y,Hiking,Hiking,train,2bf248e672cc,108,5,2378,0.5815811606391926,1.0,0.12400912488171068,0.0038444061193400984,0.004394858444238855,0.04619634731881855,0.12524915918971968,6.372498767344116,9.298650738287506e-11,3.769688550486856,8.371658679409653e-05,9.396846681651217,0.0,9.068245315891137e-16,476,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_30Y,NOR,30Y,Hiking,Hiking,oos,2bf248e672cc,108,5,657,0.4824961948249619,1.0,-1.1696082178019611,0.01585543231597306,0.0073811261187214615,0.10103725130074573,-1.14810478251515,-0.7141452729502271,0.7624313232145066,-7.366788013768383,0.9999999999997365,2.668563025102092,0.0038088242568933284,0.8254443037523895,131,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_5Y,NOR,5Y,GFC,GFC,train,2bf248e672cc,108,5,587,0.6575809199318569,1.0,0.39052075594649027,0.0037014637342777036,0.006073762108177171,0.0472100939603565,0.39058137800715254,4.7660428524309255,9.393965841875129e-07,3.643428913035738,0.0001464485852028152,7.809023774218035,2.886579864025407e-15,9.451608307186317e-15,117,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_5Y,NOR,5Y,GFC,GFC,oos,2bf248e672cc,108,5,451,0.49002217294900224,1.0,-3.3531435114396597,0.018077776115803836,0.0042348988137472275,0.09819685157654989,-3.2687622327882284,-0.7681803922354912,0.778809989583177,-6.631603090079966,0.9999999999522977,-0.5511740685666295,0.7092428227476836,0.6811130788097034,90,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
