validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,notebook,run_ts,model_kind,is_pooled,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,htb_ntrees,htb_depth,model,model_loss,machine,scheme,src_file,xgb_n_trees,xgb_max_depth,xgb_lr,cat_n_trees,cat_depth,cat_lr,alpha,l1_ratio,n_nonzero,n_trees,depth,lr
block_cv,level_change,NOR_1Y,NOR,1Y,Block_Hiking,Hiking,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1021,0.4730656219392752,1.0,-0.2351775956730917,0.3892177301505993,0.3721054544074436,0.4667813309770856,-0.0459877046693819,0.083221447773463,0.4668377295181163,-0.5643755024998631,0.7136886567908083,-3.1259594603475347,0.999113870094374,0.9601874611420308,8,12,0.724846745169574,31.0,3.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,31.0,3.0,
block_cv,level_change,NOR_30Y,NOR,30Y,Block_GFC,GFC,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,3090,0.6213592233009708,1.0,0.0634561424465871,0.1419842712897237,0.1518019783820712,0.2948910281120174,0.0646744343979316,2.1839850119355653,0.0144816747131804,1.9587672453782388,0.0251149497437094,13.571858349067062,0.0,4.4644072186896126e-42,25,12,0.7730109849954367,46.0,3.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,46.0,3.0,
block_cv,level_change,NOR_30Y,NOR,30Y,Block_GFC,GFC,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1432,0.4378491620111732,1.0,-0.0990896001895393,0.1849858851585356,0.1747388236731843,0.3262937758139496,-0.0586421567339636,-0.5045262089233046,0.6930541752728561,-0.7790833142761961,0.7819702730627709,-0.7723753129680442,0.7800539144891899,0.9999989108606996,11,12,0.7730109849954367,46.0,3.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,46.0,3.0,
block_cv,level_change,NOR_30Y,NOR,30Y,Block_ZIRP,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,2660,0.7296992481203007,1.0,0.2560718604963742,0.1246376558638632,0.1692821878007518,0.266703791922052,0.263728467341384,4.234882099623068,1.1433582501330086e-05,3.3453672188525414,0.0004165734640925,24.080170885013256,0.0,6.937212915326445e-129,21,12,0.7386085079634938,28.0,1.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,28.0,1.0,
block_cv,level_change,NOR_30Y,NOR,30Y,Block_ZIRP,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1793,0.4796430563301729,1.0,-0.3537749488285038,0.1393726629529562,0.1118114215842721,0.287314063811895,-0.2464975489817129,-0.7805207595851377,0.7824577934498032,-1.4715513391938744,0.9293411721710926,7.943011615146131,9.992007221626409e-16,0.959747639329402,14,12,0.7386085079634938,28.0,1.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,28.0,1.0,
block_cv,level_change,NOR_30Y,NOR,30Y,Block_COVID,COVID,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,3915,0.7514687100893997,1.0,0.5112261502332788,0.0617292325794009,0.1267317229169859,0.1906211226794059,0.5129141215902514,4.389520975744137,5.680031053723056e-06,3.817742437217975,6.838105717806932e-05,31.70182811554763,0.0,1.4960493724235638e-227,31,12,0.7358901185207285,160.0,3.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,160.0,3.0,
block_cv,level_change,NOR_30Y,NOR,30Y,Block_COVID,COVID,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,523,0.7667304015296367,1.0,0.0723274491047445,0.2431761261621954,0.2795510540726577,0.3677908241930417,0.1301190869450563,1.2740138348828136,0.1013292565669083,0.6101863409359408,0.2710019603788089,10.862675795209828,0.0,5.1546271465726005e-36,4,12,0.7358901185207285,160.0,3.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,160.0,3.0,
block_cv,level_change,NOR_30Y,NOR,30Y,Block_Hiking,Hiking,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,3677,0.5885232526516182,1.0,0.0136031154711722,0.1414441121209211,0.147746707411096,0.2882078953418369,0.0426581099546147,1.6035265900747886,0.0544092217230256,0.9184596767074028,0.1792192593318872,,,3.051420966385633e-27,29,12,0.7199162244523755,1.0,1.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,1.0,
block_cv,level_change,NOR_30Y,NOR,30Y,Block_Hiking,Hiking,oos,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,1009,0.3310208126858275,1.0,-0.3708301232148383,0.1535372456624993,0.1307072975916749,0.3151563642755845,-0.1746646781891578,-2.0017721523621965,0.9773453788609372,-2.227495744270343,0.9869328546317538,,,1.0,8,12,0.7199162244523755,1.0,1.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,1.0,1.0,
block_cv,level_change,NOR_5Y,NOR,5Y,Block_GFC,GFC,train,bd50ee1ef41d,108,v5,2026-06-28T20:15:42.068891+00:00,per_security,False,126,3261,0.598589389757743,1.0,0.1827772156802544,0.17297857506209,0.2144411299404477,0.3102724584007136,0.1933516899946954,2.020791174221563,0.0216506934185466,1.6596692032663274,0.0485385999795707,12.48376823385408,0.0,8.336041704274933e-30,26,12,0.7729706119687163,52.0,2.0,htboost_t,t,Alex,blockcv,v5_blockcv_H126__Alex.csv,,,,,,,,,,52.0,2.0,
