security,horizon,scheme,fold,use_categoricals,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,0.8,1.0,1.0,5,0.7906908812164192,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,0.8,1.0,5.0,1,0.7906906594213807,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,0.8,1.0,5.0,5,0.7906906594213807,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,0.8,1.0,10.0,1,0.7906903778939085,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,0.8,1.0,10.0,5,0.7906903778939085,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,1.0,0.8,1.0,1,0.7893696306809984,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,1.0,0.8,1.0,5,0.7893696306809984,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,1.0,0.8,5.0,1,0.7901613331886246,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,1.0,0.8,5.0,5,0.7901613331886246,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,1.0,0.8,10.0,1,0.790161917085474,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,1.0,0.8,10.0,5,0.790161917085474,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,1.0,1.0,1.0,1,0.7906942240623016,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,1.0,1.0,1.0,5,0.7906942240623016,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,1.0,1.0,5.0,1,0.7906940428089191,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,1.0,1.0,5.0,5,0.7906940428089191,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,1.0,1.0,10.0,1,0.7906938029848953,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,3,1.0,1.0,10.0,5,0.7906938029848953,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,0.8,0.8,1.0,1,0.7885110998381428,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,0.8,0.8,1.0,5,0.7884586627506587,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,0.8,0.8,5.0,1,0.7885658443679356,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,0.8,0.8,5.0,5,0.7892478265063947,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,0.8,0.8,10.0,1,0.788358613921485,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.01,5,0.8,0.8,10.0,5,0.7883553591973451,1,True
