notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,horizon,fold,regime,sample,config_hash,feature_count,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,reject_bonferroni,reject_fdr_bh,mtc_N,mtc_family
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_10Y,NOR,10Y,1,ZIRP_late,ZIRP,oos,bf4168325708,1,782,0.48081841432225064,1.0,-0.0009939422474491977,0.0006212657613459889,0.0006206834910485937,0.018649707522190452,-0.000938111462271296,-0.12176339494084051,0.5484567976073691,-0.5022699190736245,0.6921903775581224,,,0.8661952877642517,782,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_10Y,NOR,10Y,1,COVID,COVID,train,bf4168325708,1,3474,0.49597006332757626,1.0,0.0001624768514097985,0.0012925677715629543,0.0012932731519861834,0.02630200184847932,0.0005454226140438889,1.2175598932746325,0.11169563162963336,0.608750452458522,0.27136483651880894,0.6375775322500357,0.2618743625141753,0.6886443677526772,3474,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_10Y,NOR,10Y,1,COVID,COVID,oos,bf4168325708,1,542,0.4833948339483395,1.0,0.0003700360293175109,0.0011555493862818293,0.001156075055350553,0.024847790284729637,0.00045470150600590564,1.364411075857732,0.08621911196505905,1.3135002436703547,0.094785603690123,0.41361858390032363,0.33957673051248805,0.7927721365480653,542,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_10Y,NOR,10Y,1,Hiking,Hiking,train,bf4168325708,1,4017,0.4943988050784167,1.0,0.00020791927557128886,0.0012739425146701597,0.001274622359970127,0.026106724944929268,0.0005333699778994339,1.2867990084085474,0.09908217633044347,0.641976035718163,0.2604626919914737,1.439010058834347,0.07507383641421517,0.7660119725550577,4017,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_10Y,NOR,10Y,1,Hiking,Hiking,oos,bf4168325708,1,1131,0.4500442086648983,1.0,-0.0034585948950676126,0.0023659728625006777,0.0023629599115826717,0.03712851132710718,-0.0012750749190610922,-0.9297398684330193,0.8237471066066738,-1.239785257247682,0.8923438841364069,,,0.9996536163910658,1131,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_15Y,NOR,15Y,1,GFC,GFC,train,bf4168325708,1,964,0.4657676348547718,1.0,0.004269245277637612,0.002243919272679103,0.002253627593360994,0.033455735018755685,0.004307863779486443,1.8976684272538742,0.028869887090938184,0.9516936138811984,0.17074559238428488,-0.764086870787106,0.777592262107107,0.9845596978737144,964,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_15Y,NOR,15Y,1,GFC,GFC,oos,bf4168325708,1,697,0.45050215208034433,1.0,-0.05784180781714521,0.0019784845049919293,0.0018753766140602599,0.032180709716543514,-0.054979831868777085,-0.6796182961455984,0.751626909131712,-3.4312040085258113,0.9996817917063164,,,0.9960152275287916,697,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_15Y,NOR,15Y,1,ZIRP_early,ZIRP,train,bf4168325708,1,1661,0.4653822998193859,1.0,0.0002881307434464686,0.002093701433936613,0.0020949033714629736,0.03241480292256896,0.0005737436593655776,1.0234358922771163,0.15305089817041484,0.5116542273214911,0.30448053966612015,-0.5542050168765217,0.7102807273546773,0.9977951793110784,1661,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_15Y,NOR,15Y,1,ZIRP_early,ZIRP,oos,bf4168325708,1,1038,0.4325626204238921,1.0,-0.006444519159525042,0.001132297736424983,0.0011265443159922926,0.02489117800260955,-0.005107140794210707,-0.6214117640733418,0.7328356331377437,-1.4984173448380924,0.9328354073814795,,,0.999994143311742,1038,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_15Y,NOR,15Y,1,ZIRP_late,ZIRP,train,bf4168325708,1,2699,0.48610596517228605,1.0,5.194588667656319e-05,0.0017214996098619082,0.0017224851796961832,0.02944341887776949,0.0005721789922447096,1.1790863351836707,0.11918189964506087,0.5926082539673984,0.27674650856184996,,,0.9282585256359357,2699,False,False,,
