learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.05,4,0.8,0.8,5.0,5,0.04290691104331055,44,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,0.8,0.8,10.0,1,0.044380949629356944,7,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,0.8,0.8,10.0,5,0.044380949629356944,7,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,0.8,1.0,1.0,1,0.04335911898031893,23,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,0.8,1.0,1.0,5,0.04335911898031893,23,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,0.8,1.0,5.0,1,0.04589158117274261,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,0.8,1.0,5.0,5,0.04589158117274261,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,0.8,1.0,10.0,1,0.042930585039999726,22,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,0.8,1.0,10.0,5,0.042930585039999726,22,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,1.0,0.8,1.0,1,0.043144020766439535,8,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,1.0,0.8,1.0,5,0.043144020766439535,8,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,1.0,0.8,5.0,1,0.042827570717982204,30,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,1.0,0.8,5.0,5,0.042827570717982204,30,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,1.0,0.8,10.0,1,0.04342864571121065,8,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,1.0,0.8,10.0,5,0.04342864571121065,8,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,1.0,1.0,1.0,1,0.03827206244875883,77,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,1.0,1.0,1.0,5,0.03827206244875883,77,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,1.0,1.0,5.0,1,0.03869344204737621,81,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,1.0,1.0,5.0,5,0.03869344204737621,81,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,1.0,1.0,10.0,1,0.0375262448680483,65,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,4,1.0,1.0,10.0,5,0.0375262448680483,65,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,0.8,0.8,1.0,1,0.04315017103069824,16,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,0.8,0.8,1.0,5,0.04315017103069824,16,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,0.8,0.8,5.0,1,0.0399564884906695,38,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,0.8,0.8,5.0,5,0.0399564884906695,38,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,0.8,0.8,10.0,1,0.041822673358015094,32,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,0.8,0.8,10.0,5,0.041822673358015094,32,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,0.8,1.0,1.0,1,0.04532136794990545,2,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,0.8,1.0,1.0,5,0.04532136794990545,2,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,0.8,1.0,5.0,1,0.045797591250681044,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,0.8,1.0,5.0,5,0.045797591250681044,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,0.8,1.0,10.0,1,0.045787206850732225,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,0.8,1.0,10.0,5,0.045787206850732225,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,1.0,0.8,1.0,1,0.04351013630925534,23,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,1.0,0.8,1.0,5,0.04351013630925534,23,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,1.0,0.8,5.0,1,0.04405124998626578,25,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.05,6,1.0,0.8,5.0,5,0.04405124998626578,25,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
