notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,cat_n_trees,cat_depth,cat_lr
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,oos,c27606d80534,108,252,931,0.5209452201933404,1.0,-2.552880623197353,2.1942321188662093,0.7771894022663801,1.156477689045171,-1.8232913527481949,-1.3002345597071874,0.9032397054529551,-1.4787729397831928,0.9302301895851224,0.0,0.5,0.10648116909938554,4,12,0.7271694387794247,69,6,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_30Y,NOR,30Y,GFC,GFC,train,c42174153d8c,108,252,704,0.9573863636363636,1.0,0.9810232103924872,0.006143313551191765,0.32457024147727276,0.06075609952304144,0.9810724682483809,3.099275851369746,0.0009699715328356229,2.010563974977247,0.022376472817551903,24.357009407177024,0.0,6.697857409194481e-160,3,12,0.7986270055201756,69,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_30Y,NOR,30Y,GFC,GFC,oos,c42174153d8c,108,252,703,0.3541963015647226,1.0,-1.023278797394711,0.42354483540784604,0.2806829953769559,0.5593470228667045,-0.5089793196735248,-1.7966637913708694,0.9638054947288204,-1.8503045847788415,0.9676551739657251,2.8089642896336575,0.002485057961647219,0.9999999999999974,3,12,0.7986270055201756,69,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_30Y,NOR,30Y,ZIRP_early,ZIRP,train,8d229687df90,108,252,1378,0.5798258345428157,1.0,0.1432990164705762,0.25375615883801095,0.319835926161103,0.4206636272092538,0.20660520572603636,1.8285904171572998,0.03373049467000444,1.1627893156548745,0.12255823245575004,,,1.6926622220383517e-09,5,12,0.7342530750523502,1,6,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_30Y,NOR,30Y,ZIRP_early,ZIRP,oos,8d229687df90,108,252,1013,0.6791707798617966,1.0,0.0050468897190967255,0.20065273667403608,0.2518947625863771,0.37016032356357936,0.20342632528840154,1.629284402720122,0.05162641322512673,0.7086575819991993,0.2393500987345687,,,6.614201659741651e-31,4,12,0.7342530750523502,1,6,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_30Y,NOR,30Y,ZIRP_late,ZIRP,train,2941eef0f8fd,108,252,2373,0.6586599241466498,1.0,0.10619838639301504,0.20978824623926073,0.28363744953645176,0.3778881024519294,0.26036478405049357,2.795208616203999,0.0025933116968199776,1.5874635089885427,0.05627049355960515,,,5.7520971125354424e-55,9,12,0.7312857077997245,1,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_30Y,NOR,30Y,ZIRP_late,ZIRP,oos,2941eef0f8fd,108,252,782,0.6828644501278772,1.0,-0.004353687427613773,0.15584628853605142,0.1956406379803069,0.3250202101705061,0.20340533467418542,1.2018411003158194,0.11471254905920791,0.3779853163785958,0.35277210443251894,,,3.2072445149255486e-25,3,12,0.7312857077997245,1,4,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_30Y,NOR,30Y,COVID,COVID,train,c73b633e8a7b,108,252,3154,0.6217501585288523,1.0,0.2987284864350249,0.15372666624075285,0.2410205576094166,0.31581071344003947,0.3621844220862146,3.303902845226346,0.00047674434761002527,2.6723340788619856,0.003785666227739854,10.471481799543492,0.0,3.5618727156124294e-43,13,12,0.7298094032691848,3,6,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_30Y,NOR,30Y,COVID,COVID,oos,c73b633e8a7b,108,252,522,0.27586206896551724,1.0,-0.6342148505103793,0.6017522137292951,0.5459547913601533,0.6580952142020937,-0.10220154351998989,-1.1797245859460548,0.8809451139468738,-0.7618936372780665,0.776765879873853,2.599612003754688,0.004666460823776752,1.0,2,12,0.7298094032691848,3,6,0.1
catboost_v5,2026-06-30T00:02:09.293990+00:00,per_security,False,walk_forward,level_change,NOR_30Y,NOR,30Y,Hiking,Hiking,train,4ecac48938a1,108,252,3677,0.8050040794125646,1.0,0.48276496093038557,0.12655623954442427,0.26545384307875985,0.2911949772000105,0.5232457813508649,4.84566527917872,6.30940547474701e-07,4.100877762605499,2.102469768363062e-05,37.43882126651081,0.0,2.2e-321,15,12,0.7198523076140497,6,6,0.1
