horizon,fold,bucket,share
126,ZIRP_early,security,0.0
126,ZIRP_early,vol,0.0
126,ZIRP_late,carry_roll,0.0
126,ZIRP_late,country,0.0
126,ZIRP_late,credit,0.0
126,ZIRP_late,cross_market,0.0
126,ZIRP_late,curve,0.0
126,ZIRP_late,macro,1.0
126,ZIRP_late,maturity,0.0
126,ZIRP_late,momentum,0.0
126,ZIRP_late,norway,0.0
126,ZIRP_late,security,0.0
126,ZIRP_late,vol,0.0
252,COVID,carry_roll,0.064996
252,COVID,country,0.0
252,COVID,credit,0.0
252,COVID,cross_market,0.0
252,COVID,curve,0.297292
252,COVID,macro,0.637713
252,COVID,maturity,0.0
252,COVID,momentum,0.0
252,COVID,norway,0.0
252,COVID,security,0.0
252,COVID,vol,0.0
252,GFC,carry_roll,0.0
252,GFC,country,0.0
252,GFC,credit,0.0
252,GFC,cross_market,0.0
252,GFC,curve,0.0
252,GFC,macro,0.863068
252,GFC,maturity,0.0
252,GFC,momentum,0.0
252,GFC,norway,0.0
252,GFC,security,0.0
252,GFC,vol,0.136932
252,ZIRP_early,carry_roll,0.0
252,ZIRP_early,country,0.0
252,ZIRP_early,credit,0.0
252,ZIRP_early,cross_market,0.0
252,ZIRP_early,curve,0.0
252,ZIRP_early,macro,1.0
252,ZIRP_early,maturity,0.0
252,ZIRP_early,momentum,0.0
252,ZIRP_early,norway,0.0
252,ZIRP_early,security,0.0
252,ZIRP_early,vol,0.0
252,ZIRP_late,carry_roll,0.074652
252,ZIRP_late,country,0.0
252,ZIRP_late,credit,0.0
252,ZIRP_late,cross_market,0.0
252,ZIRP_late,curve,0.0
252,ZIRP_late,macro,0.632114
252,ZIRP_late,maturity,0.0
252,ZIRP_late,momentum,0.0
252,ZIRP_late,norway,0.293234
252,ZIRP_late,security,0.0
252,ZIRP_late,vol,0.0
