column	kind	dtype	value_hash16
nor_govt_3y	derived	float64	e6c8699dc402f2e2
nor_govt_5y	derived	float64	913f6a69f5ca26e4
nor_i44_chg_1d	derived	float64	6123fbb0811cb6c6
nor_i44_level	derived	float64	2ed1cada38a89177
nor_i44_mom_1m	derived	float64	15852c8e876a0a75
nor_i44_mom_3m	derived	float64	894bba7f0a78a1e8
nor_i44_rvol_20d	derived	float64	0a2577e18a97be20
nor_ibor_1m	derived	float64	b39da53b32af25aa
nor_ibor_6m	derived	float64	526a5a720077f975
nor_kpi_yoy	derived	float64	d50f6dd221c198dc
nor_kpijae_yoy	derived	float64	e22b2807495b152e
nor_nibor_nowa_spread	derived	float64	1abac926c62bf6a8
nor_nowa_level	derived	float64	f42c268c2c541ca7
nor_polrate_chg_1d	derived	float64	6a88191fad9b2a69
nor_polrate_days_since_chg	derived	float64	f5c6fbadbf7704f0
nor_polrate_level	derived	float64	5a681047decdc0dd
nor_rb_rate_chg	derived	float64	42bbd4916ce4610d
nor_rb_rate_level	derived	float64	d8db4cbed0b46cd9
nor_unemp	derived	float64	48d2ed0db8e2d256
nor_usdnok_chg_1d	derived	float64	7a3161d6ebfb5bfb
nor_usdnok_level	derived	float64	f57d42a01fe11c35
nor_usdnok_mom_1m	derived	float64	1f950de01504e308
nor_usdnok_mom_3m	derived	float64	7f36efe3fd785c26
nor_usdnok_rvol_20d	derived	float64	3b3ef3946f14a83b
oil_mom_1m	derived	float64	fd3ec43241103411
oil_mom_3m	derived	float64	ed6cb7b14a9954f9
opec_prod	derived	float64	f7812e6f93852a0f
ovx_level	derived	float64	3949c0a1d0f4a34a
pce_core_chg	derived	float64	302e06859eac13cd
pce_core_level	derived	float64	dcce95e1483d8273
pmi_eur	derived	float64	755a7eebcb28749a
pmi_us	derived	float64	2d595a2069195c47
rb_polrate	derived	float64	fb1f4eea0544f986
rvx_level	derived	float64	076a0b6dedac5701
spx_mom_1m	derived	float64	257c64cc06089dfe
spx_mom_3m	derived	float64	1002eebfd0a91f4e
sx5e_mom_1m	derived	float64	cdc6c51af3b8b28f
sx5e_mom_3m	derived	float64	27912041c048edd5
unemp_eur	derived	float64	fb446832ceb87182
v2x_level	derived	float64	a7af406896e482e0
vix_level	derived	float64	fee05354d75a6527
vix_zscore	derived	float64	374c614eadc9a29b
vxn_level	derived	float64	bee091024febf2ad
