security,horizon,fold,scheme,bucket,shap_share_pct
NOR_30Y,21,ZIRP_late,walk_forward,credit,0.0
NOR_30Y,21,ZIRP_late,walk_forward,cross_market,0.12212455626450416
NOR_30Y,21,ZIRP_late,walk_forward,norway,25.743026734094745
NOR_30Y,21,ZIRP_late,walk_forward,carry_roll,1.0996035343124158
NOR_30Y,21,COVID,walk_forward,curve,18.076780808175613
NOR_30Y,21,COVID,walk_forward,momentum,12.761449949642103
NOR_30Y,21,COVID,walk_forward,vol,0.4585529499865704
NOR_30Y,21,COVID,walk_forward,macro,16.942945028463004
NOR_30Y,21,COVID,walk_forward,credit,0.0
NOR_30Y,21,COVID,walk_forward,cross_market,0.06975855713742635
NOR_30Y,21,COVID,walk_forward,norway,51.266196718760575
NOR_30Y,21,COVID,walk_forward,carry_roll,0.424315987834708
NOR_30Y,21,Hiking,walk_forward,curve,7.163434945238781
NOR_30Y,21,Hiking,walk_forward,momentum,9.603081364566995
NOR_30Y,21,Hiking,walk_forward,vol,1.8516459086811823
NOR_30Y,21,Hiking,walk_forward,macro,15.13531900183658
NOR_30Y,21,Hiking,walk_forward,credit,0.0
NOR_30Y,21,Hiking,walk_forward,cross_market,0.007293461282553794
NOR_30Y,21,Hiking,walk_forward,norway,66.2392253183939
NOR_30Y,21,Hiking,walk_forward,carry_roll,0.0
NOR_5Y,21,GFC,walk_forward,curve,16.88606617862763
NOR_5Y,21,GFC,walk_forward,momentum,3.897052395227583
NOR_5Y,21,GFC,walk_forward,vol,1.7050021995111309
NOR_5Y,21,GFC,walk_forward,macro,34.27441814013107
NOR_5Y,21,GFC,walk_forward,credit,0.0
NOR_5Y,21,GFC,walk_forward,cross_market,0.01401230536937726
NOR_5Y,21,GFC,walk_forward,norway,37.10252116227417
NOR_5Y,21,GFC,walk_forward,carry_roll,6.120927618859041
NOR_5Y,21,ZIRP_early,walk_forward,curve,12.843035499021678
NOR_5Y,21,ZIRP_early,walk_forward,momentum,5.541879477220009
NOR_5Y,21,ZIRP_early,walk_forward,vol,1.8112872499788601
NOR_5Y,21,ZIRP_early,walk_forward,macro,43.446451021500906
NOR_5Y,21,ZIRP_early,walk_forward,credit,0.0
NOR_5Y,21,ZIRP_early,walk_forward,cross_market,0.0
NOR_5Y,21,ZIRP_early,walk_forward,norway,36.32383226486028
NOR_5Y,21,ZIRP_early,walk_forward,carry_roll,0.033514487418274196
NOR_5Y,21,ZIRP_late,walk_forward,curve,48.547163228980075
NOR_5Y,21,ZIRP_late,walk_forward,momentum,4.751762484898892
NOR_5Y,21,ZIRP_late,walk_forward,vol,0.7928960832345033
NOR_5Y,21,ZIRP_late,walk_forward,macro,32.19837565260695
NOR_5Y,21,ZIRP_late,walk_forward,credit,0.0
NOR_5Y,21,ZIRP_late,walk_forward,cross_market,0.030350725820800357
NOR_5Y,21,ZIRP_late,walk_forward,norway,13.39840791188373
NOR_5Y,21,ZIRP_late,walk_forward,carry_roll,0.2810439125750492
NOR_5Y,21,COVID,walk_forward,curve,36.902601700871564
NOR_5Y,21,COVID,walk_forward,momentum,7.032798314993452
NOR_5Y,21,COVID,walk_forward,vol,0.39264296811924027
NOR_5Y,21,COVID,walk_forward,macro,40.70611969929562
NOR_5Y,21,COVID,walk_forward,credit,0.0
NOR_5Y,21,COVID,walk_forward,cross_market,0.5084033723147451
NOR_5Y,21,COVID,walk_forward,norway,14.457433944405375
NOR_5Y,21,COVID,walk_forward,carry_roll,0.0
NOR_5Y,21,Hiking,walk_forward,curve,35.71617787327904
NOR_5Y,21,Hiking,walk_forward,momentum,2.5824101599313334
NOR_5Y,21,Hiking,walk_forward,vol,0.0
NOR_5Y,21,Hiking,walk_forward,macro,38.12121197079846
NOR_5Y,21,Hiking,walk_forward,credit,0.0
NOR_5Y,21,Hiking,walk_forward,cross_market,0.0
NOR_5Y,21,Hiking,walk_forward,norway,23.58019999599117
NOR_5Y,21,Hiking,walk_forward,carry_roll,0.0
