notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,xgb_n_trees,xgb_max_depth,xgb_lr
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_early,ZIRP,oos,85d067d9ee45,108,63,1028,0.6536964980544747,1.0,-0.04188231721224156,0.05689078863602089,0.058154354815175106,0.19241649289064633,0.02172779980398809,1.4215476213821752,0.07757880981313225,1.212434438799377,0.11281247902370939,5.17914155470497,1.1145464018369466e-07,2.0126971581452172e-23,16,12,0.7395425327993709,1,3,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_late,ZIRP,train,342ef9d15d73,108,63,2544,0.7441037735849056,1.0,0.34102199551655565,0.03885744113692855,0.060131539308176093,0.15788882750051195,0.3537926754580004,3.7551948962303507,8.660332157151007e-05,3.6471484481477763,0.00013524579298495633,25.67612801658166,0.0,9.306402206457028e-140,40,12,0.7358685585105414,4,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_late,ZIRP,oos,342ef9d15d73,108,63,782,0.5294117647058824,1.0,-0.1351288931407737,0.03648483247720589,0.03236462451432225,0.14862547869689322,-0.12730590960696375,-0.8232664189757409,0.794821747155227,-1.3073958218260093,0.9042684671187939,-0.18634162949999702,0.5739115682502636,0.05375687357881926,12,12,0.7358685585105414,4,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,COVID,COVID,train,cee517d66437,108,63,3326,0.7032471437161756,1.0,0.17621618467850209,0.04383382977593291,0.05388027181001203,0.1660322127689949,0.18645863683657748,3.60995864372094,0.0001531229143502122,3.4124135133010363,0.00032579805623873397,25.573102572956763,0.0,3.569812949400583e-125,53,12,0.7233526512079675,2,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,COVID,COVID,oos,cee517d66437,108,63,523,0.49904397705544934,1.0,-0.05676312692284724,0.1205956270478995,0.1147230114913958,0.27447376800930096,-0.051189517082578906,-0.4932739370574925,0.6890904793065915,-0.7088221252070407,0.7606243510641544,2.5352462363560013,0.005618415460277748,0.5348391232013078,8,12,0.7233526512079675,2,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,Hiking,Hiking,train,a2de92de9029,108,63,3849,0.5526110678098207,1.0,0.009863123313329836,0.05932876662117831,0.060462451670615744,0.18934581801920364,0.018750232881945772,1.4265548828293972,0.07685411835907874,0.9541025595398189,0.17004583038596116,,,3.568344250193924e-11,61,12,0.7141960944521839,1,5,0.01
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,Hiking,Hiking,oos,a2de92de9029,108,63,1062,0.3229755178907721,1.0,-0.15074914105557058,0.10061009796053089,0.09574886709981167,0.24813213418306265,-0.05077063580973462,-1.7307663157753934,0.9582532740207721,-1.858879199280328,0.9683395073552395,,,1.0,17,12,0.7141960944521839,1,5,0.01
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,GFC,GFC,train,b2cebd4809e6,108,63,903,0.31007751937984496,1.0,0.11536363132633376,0.4440144917495651,0.5031735860160576,0.4239279645917811,0.11757193920867803,1.3416204433002443,0.08985954710730704,1.2358969035635434,0.10840932256178824,,,1.0,14,12,0.785440647915312,8,5,0.01
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,GFC,GFC,oos,b2cebd4809e6,108,63,536,0.6399253731343284,1.0,-0.11611650471216017,0.03265619927694829,0.03608538599813433,0.14180668219130405,0.09502979187650473,2.7332185412835805,0.0031359351064010887,2.184918801600964,0.014663961618967018,4.76837158203125e-07,0.49999980976949676,4.664671223325959e-11,9,12,0.785440647915312,8,5,0.01
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,train,e5add100f4cc,108,63,1438,0.4283727399165508,1.0,0.016622172749230057,0.3215215065289864,0.32971126748956886,0.3405192909018221,0.024839190431493297,0.7753725679375347,0.21905976997945986,0.5585912621112424,0.28826386593545456,,,0.9999999772300301,23,12,0.7457769753688664,1,5,0.01
