learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.05,5,0.8,0.8,5.0,5,0.002757086958448714,7,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,0.8,0.8,10.0,1,0.002813115170229959,5,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,0.8,0.8,10.0,5,0.0028133287968606173,5,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,0.8,1.0,1.0,1,0.002867802370225003,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,0.8,1.0,1.0,5,0.002807961507049923,21,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,0.8,1.0,5.0,1,0.0027634986406157584,12,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,0.8,1.0,5.0,5,0.002771372718704714,21,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,0.8,1.0,10.0,1,0.0027975361998912904,5,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,0.8,1.0,10.0,5,0.0027929834428775434,29,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,1.0,0.8,1.0,1,0.0028067249675977125,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,1.0,0.8,1.0,5,0.0027856359092746676,14,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,1.0,0.8,5.0,1,0.002806517631487332,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,1.0,0.8,5.0,5,0.002756723313755862,37,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,1.0,0.8,10.0,1,0.0027631456571213004,7,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,1.0,0.8,10.0,5,0.0027522015316194595,7,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,1.0,1.0,1.0,1,0.0028031356360602084,8,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,1.0,1.0,1.0,5,0.0027251786421296624,24,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,1.0,1.0,5.0,1,0.0027785395057666204,29,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,1.0,1.0,5.0,5,0.002778060142192439,25,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,1.0,1.0,10.0,1,0.0027390384805613377,24,False,NOR_10Y,5,GFC,GFC,walk_forward
0.05,5,1.0,1.0,10.0,5,0.00274863698300694,29,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,3,0.8,0.8,1.0,1,0.0028179213362974193,1,False,NOR_10Y,5,GFC,GFC,walk_forward
