notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,horizon,fold,regime,sample,config_hash,feature_count,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,lookback,reject_bonferroni,reject_fdr_bh,mtc_N,mtc_family
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_15Y,NOR,15Y,63,COVID,COVID,train,6e63a9429d93,1,3414,0.5981253661394259,1.0,0.0004772286996878039,0.08697021092606402,0.08976606321912711,0.2274478197747343,0.03114598315666539,1.5717445192283213,0.058004906498874687,0.7750472450301374,0.2191827177972839,0.0,0.5,7.704846852175649e-31,54,5,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_15Y,NOR,15Y,63,COVID,COVID,oos,6e63a9429d93,1,523,0.3919694072657744,1.0,-0.07708793070771569,0.1817842388598192,0.17306035845124282,0.3406797446334745,-0.050409466885706244,-0.4961182462019169,0.690094506702109,-0.6443749912282594,0.7401923274144564,,,0.9999997194514967,8,5,False,False,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_15Y,NOR,15Y,63,Hiking,Hiking,train,6e63a9429d93,1,3692,0.6072589382448538,1.0,0.028436938238179388,0.09222797474246042,0.09880602399247021,0.23431118861627753,0.06657538664354201,3.0142964738639453,0.0012878798307848216,1.5038184480641619,0.06635683780336064,5.928927105479767,1.5246020002024352e-09,2.4959021952726927e-39,59,250,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_15Y,NOR,15Y,63,Hiking,Hiking,oos,6e63a9429d93,1,1048,0.30916030534351147,1.0,-0.4742271125256641,0.17951269538242717,0.13626663537213743,0.3502984765125384,-0.31736352697185843,-1.26735437017056,0.8974856961606692,-2.1792241439942455,0.9852313232897957,,,1.0,17,250,False,False,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_30Y,NOR,30Y,63,GFC,GFC,train,6e63a9429d93,1,781,0.6402048655569782,1.0,0.06055086514422525,0.12720098058050686,0.13543002976952623,0.2615710858464779,0.06076236712805505,1.540976404755863,0.06166126434840713,0.791354717074701,0.21448879768323792,8.089053567116023,3.3306690738754696e-16,2.048497475745241e-15,12,120,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_30Y,NOR,30Y,63,GFC,GFC,oos,6e63a9429d93,1,723,0.4315352697095436,1.0,-0.21084421001397669,0.1062318876563342,0.09809038865836792,0.26745618899686896,-0.08299996675843269,-0.07365418236146917,0.5293572215552147,-0.7440489928572592,0.7714555439828585,0.926227384898295,0.17716391190365632,0.9999021790846125,11,120,False,False,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_30Y,NOR,30Y,63,ZIRP_early,ZIRP,train,6e63a9429d93,1,1607,0.6004978220286248,1.0,0.010485772003874017,0.10671603195391201,0.1113181306782825,0.24883816873529632,0.0413418613511477,1.2280815805385223,0.10970817239817054,0.611353964586836,0.2705258974437628,3.419881185036085,0.00031324246042585546,3.8367220291583346e-16,26,20,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_30Y,NOR,30Y,63,ZIRP_early,ZIRP,oos,6e63a9429d93,1,1025,0.6478048780487805,1.0,-0.0064255225937674965,0.07863553083445855,0.08444861439024391,0.22504042742361785,0.06883574819739047,1.4299902511382836,0.07635990855250974,0.7872586933089774,0.21565630849603493,-1.5203767416282579,0.9357918417269616,1.0238415607653945e-21,16,20,True,True,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_30Y,NOR,30Y,63,ZIRP_late,ZIRP,train,6e63a9429d93,1,2399,0.6611087953313881,1.0,0.05129575355463467,0.08980641331833422,0.10189682180075031,0.23234437537538993,0.11865344049746473,2.975092898098833,0.0014644991631890258,1.490274599311543,0.06814178146385619,8.611643671533969,0.0,3.046308258674835e-57,38,250,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_30Y,NOR,30Y,63,ZIRP_late,ZIRP,oos,6e63a9429d93,1,782,0.5907928388746803,1.0,-0.15819509829063216,0.06277615505951156,0.05575509818491048,0.2001541948576294,-0.1259267242488913,1.3088999097860483,0.0952841285977426,-0.5715913667622754,0.7161183481941953,,,2.147117787241832e-07,12,250,True,True,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_30Y,NOR,30Y,63,COVID,COVID,train,6e63a9429d93,1,3426,0.5980735551663747,1.0,3.874248548529913e-06,0.08491341900438053,0.08766776051967308,0.22358030503958784,0.03141795226620925,1.6048693932964133,0.054261275233514095,0.7880881845962894,0.21534983240973612,,,6.54370818925606e-31,54,5,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_30Y,NOR,30Y,63,COVID,COVID,oos,6e63a9429d93,1,523,0.4110898661567878,1.0,-0.058858291378954375,0.1934717688164905,0.18538224713193116,0.3480406714566731,-0.04363698147861084,-0.43267469242027096,0.6673744410401702,-0.5778731547156641,0.7182005261806218,,,0.9999811274858869,8,5,False,False,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_30Y,NOR,30Y,63,Hiking,Hiking,train,6e63a9429d93,1,3704,0.6374190064794817,1.0,0.04278967394690569,0.0900422446472742,0.09802683022694385,0.2304882467807284,0.08145306301534361,3.5335991550773813,0.0002049711441958202,1.7950467835194404,0.0363638828021948,11.955289653791578,0.0,9.02294194948747e-64,59,250,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_30Y,NOR,30Y,63,Hiking,Hiking,oos,6e63a9429d93,1,1043,0.29913710450623204,1.0,-0.5099592496032901,0.14305857406825373,0.10563634921380632,0.3190887141458481,-0.35425518898523656,-0.9531322002649536,0.8297384534771022,-2.3716453118673018,0.9910549807922058,,,1.0,17,250,False,False,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,126,GFC,GFC,train,6e63a9429d93,1,783,0.3167305236270754,1.0,0.046884495821674754,2.4715246777756654,2.6488060996136658,1.1813832901197032,0.06692880307994509,1.0194427688214707,0.1539964052419267,0.5933551477846073,0.2765575346216238,-3.912338005262747,0.9999542965736393,1.0,6,60,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,126,GFC,GFC,oos,6e63a9429d93,1,589,0.799660441426146,1.0,0.011237343265564914,0.10299521312292062,0.14319219803904923,0.2526534187642365,0.28072049641396446,1.8174615125709639,0.034573238170628406,0.6587421224655249,0.25515962019476524,,,3.5805154574402767e-51,5,60,True,True,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,126,ZIRP_early,ZIRP,train,6e63a9429d93,1,1182,0.5152284263959391,1.0,0.01576409615429797,1.526527029465393,1.687062051501692,0.8283862846707166,0.0951565604201714,1.0419939954809343,0.14870723140881137,0.46358608427056425,0.3215148753963451,1.4548792340831282,0.07285134883177602,0.15433195525079973,9,250,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,126,ZIRP_early,ZIRP,oos,6e63a9429d93,1,1040,0.6692307692307692,1.0,-1.6368624042741402,0.1161377382926657,0.05406428874038462,0.29995621672381456,-1.148141425671135,1.7217879278891624,0.04255397111917514,-1.2527106842506386,0.8947035565387979,,,2.1123694622782873e-28,8,250,True,True,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,126,ZIRP_late,ZIRP,train,6e63a9429d93,1,2353,0.5826604334891627,1.0,0.0044280985438148734,0.87955693778565,0.9181459786453463,0.5335916232525655,0.04202930879970901,1.2418764518093564,0.10714107479941926,0.6108516421706132,0.27067841312451973,,,5.429300902685088e-16,19,120,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_1Y,NOR,1Y,126,ZIRP_late,ZIRP,oos,6e63a9429d93,1,779,0.2952503209242619,1.0,-0.12124625668830524,0.2689371486928138,0.23987564848523749,0.406964490152776,-0.12115235702787408,-0.011592405175858609,0.504624596977432,-0.5157539549093759,0.6969136019495412,,,1.0,6,120,False,False,150.0,walk_forward:{horizon×tenor×regime}
