validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,notebook,run_ts,model_kind,is_pooled,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,htb_ntrees,htb_depth,lambda_grid_value
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,774,0.5310077519379846,1.0,-0.259066511452146,0.0030521642415925043,0.002651561950904393,0.04426034648924107,-0.15108162588902507,1.7679982354892576,0.03853059932260772,-0.9145633753306458,0.8196469603193424,-4.458437269011651,0.9999958720324673,0.045541003940892624,37,12,0.7418534819241348,32,5,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,548,0.5948905109489051,1.0,0.019311579060937056,0.026760007699468583,0.027394905781751824,0.09229665370616633,0.023175771705196246,1.710334173577653,0.043602047951487366,1.4503134365395753,0.07377214126153461,3.4226350740333236,0.0003100863808160881,5.111888320921383e-06,26,12,0.7268954765479523,11,3,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,1109,0.4950405770964833,1.0,-0.07491753375144916,0.03300714371982128,0.03302174287646529,0.1354709766149,0.0004421073926540453,0.7913540412837576,0.21436871050677964,0.020413824255043095,0.4918584657001275,0.7182655356239753,0.23629678810111743,0.6406956632828857,53,12,0.7169535284796619,60,3,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,GFC,GFC,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,561,0.49554367201426025,1.0,-0.29298733129524646,0.01415558026674096,0.011662426622103388,0.0915602436753488,-0.2137765771586837,0.1854039101471138,0.4264561208684483,-1.8860590609880512,0.9700978846837857,-1.2967874518715423,0.9026478353202643,0.5999759632968222,27,12,0.7798292943039524,180,2,0.2
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,1036,0.5743243243243243,1.0,-0.21507263099642615,0.006562158762088219,0.00553881361969112,0.06270289470142791,-0.18475890554594399,1.3891298740810645,0.0823966305009819,-1.4269931891935173,0.9230582710689677,4.149509533186269,1.6659420613240883e-05,9.593607047339382e-07,49,12,0.7444422920341695,30,2,0.2
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,774,0.5193798449612403,1.0,-0.13104494772047626,0.002741820955181134,0.002651561950904393,0.04026518596111717,-0.034039937949009724,1.0592180073753428,0.14475025296433186,-0.46517817080192303,0.6790325577901284,-1.0423854641436803,0.8513834985145995,0.14861475365666688,37,12,0.7418534819241348,7,3,0.2
walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,548,0.6551094890510949,1.0,0.025679677171667303,0.026586241648156445,0.027394905781751824,0.09074492612732257,0.029518777689465203,1.832936292821845,0.033406022867326746,1.5049575238992703,0.06645609072448683,6.590049609924734,2.1983970199812575e-11,1.7007643095461736e-13,26,12,0.7268954765479523,7,3,0.2
walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,21,1109,0.5202885482416592,1.0,-0.01201961105274818,0.031075757628323885,0.03302174287646529,0.13188511791623772,0.05893042215916211,2.4670215467363232,0.006812107955779689,1.916700605818204,0.02776648849962189,1.0981721086801117,0.1360646714328022,0.09319571752468409,53,12,0.7169535284796619,13,2,0.2
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,252,1038,0.26396917148362237,1.0,-3.4388973499938436,0.26252121206242857,0.0802835632273603,0.43787039837908426,-2.2699247705159458,-1.8801133339233846,0.969953683193783,-2.8596632181697217,0.9978370337217308,,,1.0,4,12,0.7529419197444106,36,1,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,252,776,0.3170103092783505,1.0,-0.6275120927358291,0.6752002617542441,0.417101886378866,0.7319902224543476,-0.6187897580998702,-2.427150987544429,0.9923910394727998,-2.1766369625841393,0.9850955640882015,,,1.0,3,12,0.7389241914262045,15,3,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,252,530,0.16792452830188678,1.0,-0.38635331153449304,1.0468620531570256,0.9950193943833964,0.8414651847634,-0.05210215907977922,-1.5879114691058638,0.9438468201707176,-0.877678791417699,0.8097417561605506,,,1.0,2,12,0.7375652978780988,7,7,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,252,931,0.5209452201933404,1.0,-0.6298505592908599,1.0065833405147335,0.7771894022663801,0.6785866660031802,-0.2951583456740563,-1.1835927623916982,0.8817128466080004,-1.199515945917561,0.8846835525906841,0.0,0.5,0.10648116909938554,4,12,0.7271694387794247,5,2,0.05
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,252,1038,0.26396917148362237,1.0,-3.1486313047838177,0.24535456277976167,0.0802835632273603,0.42217092762603237,-2.0560995665442245,-2.0632881610467737,0.9804573708954503,-2.9409687406949914,0.9983277245415761,,,1.0,4,12,0.7529419197444106,22,1,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,252,776,0.3170103092783505,1.0,-0.6397123661986648,0.6802617466257529,0.417101886378866,0.7451772530342806,-0.6309246465690903,-1.8966345926887564,0.9710619091484768,-1.8811712367599847,0.9698383577062443,,,1.0,3,12,0.7389241914262045,10,3,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,252,530,0.2509433962264151,1.0,-0.330563652693618,1.0047342086074686,0.9950193943833964,0.8162933998957727,-0.009763442078525975,-0.80986262405079,0.7909904323570189,-0.44686989329303434,0.6724240532772016,-12.193338015765695,1.0,1.0,2,12,0.7375652978780988,5,7,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,oos,bd50ee1ef41d,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,252,931,0.5209452201933404,1.0,-0.4812856813387745,0.9148307989828037,0.7771894022663801,0.6486574049339388,-0.177101484290759,-1.1834596733586045,0.8816864901682242,-1.0850452156680905,0.8609085924388125,0.0,0.5,0.10648116909938554,4,12,0.7271694387794247,3,1,0.1
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,252,1038,0.7341040462427746,1.0,-0.16985015074465926,0.06918620893662447,0.0802835632273603,0.21683280714936337,0.13822697753596835,2.133171992398058,0.016455309883136038,0.41248433295134257,0.3400348604625265,,,1.757402661462916e-53,4,12,0.7529419197444106,20,4,0.2
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,252,776,0.3170103092783505,1.0,-0.11897655750638592,0.4642258990869506,0.417101886378866,0.6015084403688146,-0.1129796202007114,0.2035546536150476,0.4193507661481993,-0.25446272108685153,0.6003971986815106,,,1.0,3,12,0.7389241914262045,10,3,0.2
walk_forward,level_change,NOR_1Y,NOR,1Y,COVID,COVID,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,252,530,0.8320754716981132,1.0,-0.2012143782398943,0.9070600833304739,0.9950193943833964,0.7585152771717422,0.08839959457014401,0.8466099231520453,0.19860629052472545,0.3818907209566535,0.3513478900182223,,,2.4557115490868043e-57,2,12,0.7375652978780988,5,7,0.2
walk_forward,level_change,NOR_1Y,NOR,1Y,Hiking,Hiking,oos,25524bf871ef,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,252,931,0.5209452201933404,1.0,-0.5506233093195614,0.9576531919920348,0.7771894022663801,0.658972862586965,-0.23220052821024062,-1.242969045889104,0.8930603798694835,-1.1157154653374075,0.8675839240785109,0.0,0.5,0.10648116909938554,4,12,0.7271694387794247,1,1,0.2
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,oos,94eefbb154b1,108,v5,2026-06-30T17:59:54.741824+00:00,per_security,False,1,520,0.4826923076923077,1.0,-0.0013679098763237363,0.0017342602247768931,0.0017319007163461527,0.03191502484531056,-0.001362380885041814,-0.6947774472623262,0.7564026080797515,-0.8555877806397064,0.8036896792850585,-1.1607308459419863,0.8771243132101121,0.7976238579204764,520,12,0.7879943230330043,19,2,0.05
