security,horizon,fold,feature,relevance
NOR_10Y,5,ZIRP_late,eur_3m,0.0
NOR_10Y,5,ZIRP_late,eur_1w,0.0
NOR_10Y,5,ZIRP_late,nor_ibor_1m,0.0
NOR_10Y,5,ZIRP_late,nor_ibor_6m,0.0
NOR_10Y,5,ZIRP_late,nor_ecb_dfr_chg,0.0
NOR_10Y,5,ZIRP_late,nor_ecb_dfr_level,10.945829391479492
NOR_10Y,5,ZIRP_late,nor_eurnok_chg_1d,0.0
NOR_10Y,5,ZIRP_late,nor_eurnok_level,0.0
NOR_10Y,5,ZIRP_late,nor_eurnok_mom_1m,0.0
NOR_10Y,5,ZIRP_late,nor_eurnok_mom_3m,0.0
NOR_10Y,5,ZIRP_late,nor_eurnok_rvol_20d,0.0
NOR_10Y,5,ZIRP_late,nor_govt_10y,0.0
NOR_10Y,5,ZIRP_late,nor_govt_3y,0.0
NOR_10Y,5,ZIRP_late,nor_govt_5y,0.0
NOR_10Y,5,ZIRP_late,nor_i44_chg_1d,0.0
NOR_10Y,5,ZIRP_late,nor_i44_level,0.0
NOR_10Y,5,ZIRP_late,nor_i44_mom_1m,0.0
NOR_10Y,5,ZIRP_late,nor_i44_mom_3m,0.0
NOR_10Y,5,ZIRP_late,nor_i44_rvol_20d,0.0
NOR_10Y,5,ZIRP_late,nor_kpi_yoy,0.0
NOR_10Y,5,ZIRP_late,nor_kpijae_yoy,0.0
NOR_10Y,5,ZIRP_late,nor_nibor_nowa_spread,0.0
NOR_10Y,5,ZIRP_late,nor_nowa_level,0.0
NOR_10Y,5,ZIRP_late,nor_polrate_chg_1d,0.0
NOR_10Y,5,ZIRP_late,nor_polrate_days_since_chg,13.700270652770996
NOR_10Y,5,ZIRP_late,nor_polrate_level,0.0
NOR_10Y,5,ZIRP_late,nor_rb_rate_chg,0.0
NOR_10Y,5,ZIRP_late,nor_rb_rate_level,0.0
NOR_10Y,5,ZIRP_late,nor_unemp,0.0
NOR_10Y,5,ZIRP_late,nor_usdnok_chg_1d,0.0
NOR_10Y,5,ZIRP_late,nor_usdnok_level,0.0
NOR_10Y,5,ZIRP_late,nor_usdnok_mom_1m,0.0
NOR_10Y,5,ZIRP_late,nor_usdnok_mom_3m,0.0
NOR_10Y,5,ZIRP_late,nor_usdnok_rvol_20d,0.0
NOR_10Y,5,ZIRP_late,swap_govt_spread,0.0
NOR_10Y,5,ZIRP_late,xmpca_01,0.0
NOR_10Y,5,ZIRP_late,xmpca_02,0.0
NOR_10Y,5,ZIRP_late,xmpca_03,0.0
NOR_10Y,5,ZIRP_late,xmpca_04,0.0
NOR_10Y,5,ZIRP_late,xmpca_05,0.0
NOR_10Y,5,ZIRP_late,xmpca_06,0.0
NOR_10Y,5,ZIRP_late,xmpca_07,0.0
NOR_10Y,5,ZIRP_late,xmpca_08,0.0
NOR_10Y,5,ZIRP_late,xmpca_09,0.0
NOR_10Y,5,ZIRP_late,xmpca_10,0.0
NOR_10Y,5,ZIRP_late,xmpca_11,0.0
NOR_10Y,5,ZIRP_late,xmpca_12,0.0
NOR_10Y,5,COVID,chg_lag1,0.0
NOR_10Y,5,COVID,chg_lag2,0.0
NOR_10Y,5,COVID,chg_lag3,0.0
NOR_10Y,5,COVID,chg_lag4,0.0
NOR_10Y,5,COVID,chg_lag5,0.0
NOR_10Y,5,COVID,carry_roll,0.0
NOR_10Y,5,COVID,mom_63d,0.0
NOR_10Y,5,COVID,mom_1m,0.0
NOR_10Y,5,COVID,mom_3m,0.0
NOR_10Y,5,COVID,mom_6m,0.0
NOR_10Y,5,COVID,mom_12m,0.0
NOR_10Y,5,COVID,dev_ma_3m,0.0
NOR_10Y,5,COVID,dev_ma_12m,0.0
NOR_10Y,5,COVID,vol_20d,0.0
NOR_10Y,5,COVID,vol_regime,17.168302536010742
NOR_10Y,5,COVID,vol_zscore,0.0
NOR_10Y,5,COVID,level_zscore,0.0
NOR_10Y,5,COVID,slope_10_1,0.0
NOR_10Y,5,COVID,slope_10_5,0.0
NOR_10Y,5,COVID,slope_5_1,0.0
NOR_10Y,5,COVID,sofr_mom_1m,0.0
NOR_10Y,5,COVID,ibor_level,0.0
NOR_10Y,5,COVID,ibor_chg_1d,0.0
NOR_10Y,5,COVID,ibor_mom_1m,0.0
NOR_10Y,5,COVID,ibor_term_slope,0.0
NOR_10Y,5,COVID,swap_ibor_basis,0.0
NOR_10Y,5,COVID,move_level,0.0
NOR_10Y,5,COVID,move_zscore,0.0
NOR_10Y,5,COVID,vix_level,0.0
NOR_10Y,5,COVID,vix_zscore,0.0
NOR_10Y,5,COVID,v2x_level,0.0
NOR_10Y,5,COVID,vxn_level,0.0
NOR_10Y,5,COVID,ovx_level,0.0
