security,horizon,scheme,fold,use_categoricals,feature,shap_mean_abs,bucket
__POOL__,63,walk_forward,ZIRP_early,True,ndx_mom_1m,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,oil_mom_1m,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,oil_mom_3m,0.006860210113481618,macro
__POOL__,63,walk_forward,ZIRP_early,True,copper_mom_1m,0.0033978411048862056,macro
__POOL__,63,walk_forward,ZIRP_early,True,opec_prod,0.0026377251051069926,macro
__POOL__,63,walk_forward,ZIRP_early,True,natgas_mom_1m,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,be5y_level,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,be10y_level,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,be_slope,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,be5y_chg_1m,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,ig_spread,0.0,credit
__POOL__,63,walk_forward,ZIRP_early,True,hy_spread,0.0,credit
__POOL__,63,walk_forward,ZIRP_early,True,ig_chg_1m,0.0,credit
__POOL__,63,walk_forward,ZIRP_early,True,hy_chg_1m,0.0,credit
__POOL__,63,walk_forward,ZIRP_early,True,cpi_yoy,0.04373452651551839,macro
__POOL__,63,walk_forward,ZIRP_early,True,pce_core_chg,0.0031987786138893168,macro
__POOL__,63,walk_forward,ZIRP_early,True,nfp_change,0.009017688410554905,macro
__POOL__,63,walk_forward,ZIRP_early,True,pmi_us,0.001815382536366751,macro
__POOL__,63,walk_forward,ZIRP_early,True,pmi_eur,0.04078645989857386,macro
__POOL__,63,walk_forward,ZIRP_early,True,unemp_eur,0.009290014320970704,macro
__POOL__,63,walk_forward,ZIRP_early,True,cpi_nsa_level,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,pce_core_level,0.0,macro
__POOL__,63,walk_forward,ZIRP_early,True,eur_3m,0.009758561327332231,macro
__POOL__,63,walk_forward,ZIRP_early,True,eur_1w,0.004636800846185135,macro
__POOL__,63,walk_forward,ZIRP_early,True,nor_ibor_1m,0.0019645115228511673,macro
__POOL__,63,walk_forward,ZIRP_early,True,nor_ibor_6m,0.006666200126800067,macro
__POOL__,63,walk_forward,ZIRP_early,True,xmpca_01,0.0016050239407246552,cross_market
__POOL__,63,walk_forward,ZIRP_early,True,xmpca_02,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_early,True,xmpca_03,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_early,True,xmpca_04,0.0010424538999392564,cross_market
__POOL__,63,walk_forward,ZIRP_early,True,xmpca_05,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_early,True,xmpca_06,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_early,True,xmpca_07,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_early,True,xmpca_08,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_early,True,xmpca_09,0.002000059553144143,cross_market
__POOL__,63,walk_forward,ZIRP_early,True,xmpca_10,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_early,True,xmpca_11,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_early,True,xmpca_12,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_early,True,security,0.0,categorical
__POOL__,63,walk_forward,ZIRP_early,True,country,0.005215505273085698,categorical
__POOL__,63,walk_forward,ZIRP_early,True,maturity,0.0066444344928085035,categorical
__POOL__,63,walk_forward,ZIRP_late,True,chg_lag1,0.0,momentum
__POOL__,63,walk_forward,ZIRP_late,True,chg_lag2,0.0,momentum
__POOL__,63,walk_forward,ZIRP_late,True,chg_lag3,0.0,momentum
__POOL__,63,walk_forward,ZIRP_late,True,chg_lag4,0.0,momentum
__POOL__,63,walk_forward,ZIRP_late,True,chg_lag5,0.0,momentum
__POOL__,63,walk_forward,ZIRP_late,True,carry_roll,0.009508453482514207,carry_roll
__POOL__,63,walk_forward,ZIRP_late,True,mom_63d,0.0006771179711358884,momentum
__POOL__,63,walk_forward,ZIRP_late,True,mom_1m,0.0002769603283379606,momentum
__POOL__,63,walk_forward,ZIRP_late,True,mom_3m,0.00027793800085050265,momentum
__POOL__,63,walk_forward,ZIRP_late,True,mom_6m,0.0035113265235756047,momentum
__POOL__,63,walk_forward,ZIRP_late,True,mom_12m,0.004868588733840848,momentum
__POOL__,63,walk_forward,ZIRP_late,True,dev_ma_3m,0.009487142002662484,curve
__POOL__,63,walk_forward,ZIRP_late,True,dev_ma_12m,0.0015128875918842283,curve
__POOL__,63,walk_forward,ZIRP_late,True,vol_20d,0.006880077650513747,vol
__POOL__,63,walk_forward,ZIRP_late,True,vol_regime,0.0,vol
__POOL__,63,walk_forward,ZIRP_late,True,vol_zscore,0.0014223412769480246,vol
__POOL__,63,walk_forward,ZIRP_late,True,level_zscore,0.002958476530350531,curve
__POOL__,63,walk_forward,ZIRP_late,True,slope_10_1,0.0018770148041522426,curve
__POOL__,63,walk_forward,ZIRP_late,True,slope_10_5,0.0073068090472425615,curve
__POOL__,63,walk_forward,ZIRP_late,True,slope_5_1,0.0022237987559826818,curve
__POOL__,63,walk_forward,ZIRP_late,True,sofr_mom_1m,0.00027130314185733016,macro
__POOL__,63,walk_forward,ZIRP_late,True,ibor_level,0.006099698899838825,macro
__POOL__,63,walk_forward,ZIRP_late,True,ibor_chg_1d,0.0,macro
__POOL__,63,walk_forward,ZIRP_late,True,ibor_mom_1m,0.0009214591404298179,macro
__POOL__,63,walk_forward,ZIRP_late,True,ibor_term_slope,0.0,macro
__POOL__,63,walk_forward,ZIRP_late,True,swap_ibor_basis,0.009225755661824498,curve
__POOL__,63,walk_forward,ZIRP_late,True,move_level,0.0002221378144271198,vol
__POOL__,63,walk_forward,ZIRP_late,True,move_zscore,0.0,vol
__POOL__,63,walk_forward,ZIRP_late,True,vix_level,0.0,vol
__POOL__,63,walk_forward,ZIRP_late,True,vix_zscore,0.0,vol
__POOL__,63,walk_forward,ZIRP_late,True,v2x_level,0.0,vol
__POOL__,63,walk_forward,ZIRP_late,True,vxn_level,0.0,vol
__POOL__,63,walk_forward,ZIRP_late,True,ovx_level,0.0,vol
__POOL__,63,walk_forward,ZIRP_late,True,gvz_level,0.002371679419737976,vol
__POOL__,63,walk_forward,ZIRP_late,True,spx_mom_1m,0.0007023611148984344,macro
__POOL__,63,walk_forward,ZIRP_late,True,spx_mom_3m,0.001138634774215042,macro
__POOL__,63,walk_forward,ZIRP_late,True,sx5e_mom_1m,0.0,macro
__POOL__,63,walk_forward,ZIRP_late,True,sx5e_mom_3m,0.0005557421121982021,macro
__POOL__,63,walk_forward,ZIRP_late,True,mxwo_mom_1m,0.0013190783636432117,macro
__POOL__,63,walk_forward,ZIRP_late,True,ndx_mom_1m,0.000736176775164933,macro
__POOL__,63,walk_forward,ZIRP_late,True,oil_mom_1m,0.0,macro
__POOL__,63,walk_forward,ZIRP_late,True,oil_mom_3m,0.011582734105114855,macro
__POOL__,63,walk_forward,ZIRP_late,True,copper_mom_1m,0.0005268173238007875,macro
__POOL__,63,walk_forward,ZIRP_late,True,opec_prod,0.004513425270722933,macro
__POOL__,63,walk_forward,ZIRP_late,True,natgas_mom_1m,0.0,macro
__POOL__,63,walk_forward,ZIRP_late,True,be5y_level,0.0,macro
__POOL__,63,walk_forward,ZIRP_late,True,be10y_level,0.0,macro
__POOL__,63,walk_forward,ZIRP_late,True,be_slope,0.0,macro
__POOL__,63,walk_forward,ZIRP_late,True,be5y_chg_1m,0.0,macro
__POOL__,63,walk_forward,ZIRP_late,True,ig_spread,0.0,credit
__POOL__,63,walk_forward,ZIRP_late,True,hy_spread,0.0,credit
__POOL__,63,walk_forward,ZIRP_late,True,ig_chg_1m,0.0,credit
__POOL__,63,walk_forward,ZIRP_late,True,hy_chg_1m,0.0,credit
__POOL__,63,walk_forward,ZIRP_late,True,cpi_yoy,0.006242918812026068,macro
__POOL__,63,walk_forward,ZIRP_late,True,pce_core_chg,0.006175363265205969,macro
__POOL__,63,walk_forward,ZIRP_late,True,nfp_change,0.010323786500195047,macro
__POOL__,63,walk_forward,ZIRP_late,True,pmi_us,0.0220046549407601,macro
__POOL__,63,walk_forward,ZIRP_late,True,pmi_eur,0.02401034897972205,macro
__POOL__,63,walk_forward,ZIRP_late,True,unemp_eur,0.008094410420672602,macro
__POOL__,63,walk_forward,ZIRP_late,True,cpi_nsa_level,0.0,macro
__POOL__,63,walk_forward,ZIRP_late,True,pce_core_level,0.0,macro
__POOL__,63,walk_forward,ZIRP_late,True,eur_3m,0.009958025777020875,macro
__POOL__,63,walk_forward,ZIRP_late,True,eur_1w,0.011681078992852104,macro
__POOL__,63,walk_forward,ZIRP_late,True,nor_ibor_1m,0.0018299228094364995,macro
__POOL__,63,walk_forward,ZIRP_late,True,nor_ibor_6m,0.007533682558757204,macro
__POOL__,63,walk_forward,ZIRP_late,True,xmpca_01,0.0014470858800510653,cross_market
__POOL__,63,walk_forward,ZIRP_late,True,xmpca_02,0.0009207952906782201,cross_market
__POOL__,63,walk_forward,ZIRP_late,True,xmpca_03,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_late,True,xmpca_04,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_late,True,xmpca_05,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_late,True,xmpca_06,0.0005226503825249039,cross_market
__POOL__,63,walk_forward,ZIRP_late,True,xmpca_07,0.005405434925142004,cross_market
__POOL__,63,walk_forward,ZIRP_late,True,xmpca_08,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_late,True,xmpca_09,0.0001981468288710972,cross_market
__POOL__,63,walk_forward,ZIRP_late,True,xmpca_10,0.0007255784079795291,cross_market
__POOL__,63,walk_forward,ZIRP_late,True,xmpca_11,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_late,True,xmpca_12,0.0,cross_market
__POOL__,63,walk_forward,ZIRP_late,True,security,0.0,categorical
__POOL__,63,walk_forward,ZIRP_late,True,country,0.0033320060443318097,categorical
__POOL__,63,walk_forward,ZIRP_late,True,maturity,0.020530141092238788,categorical
__POOL__,63,walk_forward,COVID,True,chg_lag1,0.0,momentum
__POOL__,63,walk_forward,COVID,True,chg_lag2,0.0,momentum
__POOL__,63,walk_forward,COVID,True,chg_lag3,0.0,momentum
__POOL__,63,walk_forward,COVID,True,chg_lag4,0.0,momentum
__POOL__,63,walk_forward,COVID,True,chg_lag5,0.0,momentum
__POOL__,63,walk_forward,COVID,True,carry_roll,0.013766844252004803,carry_roll
__POOL__,63,walk_forward,COVID,True,mom_63d,0.0005872335158757316,momentum
__POOL__,63,walk_forward,COVID,True,mom_1m,0.0,momentum
__POOL__,63,walk_forward,COVID,True,mom_3m,0.0,momentum
__POOL__,63,walk_forward,COVID,True,mom_6m,0.0024312492390918534,momentum
__POOL__,63,walk_forward,COVID,True,mom_12m,0.0013159631746482241,momentum
__POOL__,63,walk_forward,COVID,True,dev_ma_3m,0.02658875624583268,curve
__POOL__,63,walk_forward,COVID,True,dev_ma_12m,0.02927091069046141,curve
__POOL__,63,walk_forward,COVID,True,vol_20d,0.009076025333318192,vol
__POOL__,63,walk_forward,COVID,True,vol_regime,0.0,vol
__POOL__,63,walk_forward,COVID,True,vol_zscore,0.0,vol
__POOL__,63,walk_forward,COVID,True,level_zscore,0.0,curve
__POOL__,63,walk_forward,COVID,True,slope_10_1,0.003630963424124716,curve
__POOL__,63,walk_forward,COVID,True,slope_10_5,0.004961511351007392,curve
__POOL__,63,walk_forward,COVID,True,slope_5_1,0.0017823579985250342,curve
__POOL__,63,walk_forward,COVID,True,sofr_mom_1m,0.0,macro
__POOL__,63,walk_forward,COVID,True,ibor_level,0.01145184465161413,macro
__POOL__,63,walk_forward,COVID,True,ibor_chg_1d,0.0,macro
__POOL__,63,walk_forward,COVID,True,ibor_mom_1m,0.0,macro
__POOL__,63,walk_forward,COVID,True,ibor_term_slope,0.0,macro
__POOL__,63,walk_forward,COVID,True,swap_ibor_basis,0.026886969441564254,curve
__POOL__,63,walk_forward,COVID,True,move_level,0.0,vol
__POOL__,63,walk_forward,COVID,True,move_zscore,0.0,vol
__POOL__,63,walk_forward,COVID,True,vix_level,0.0,vol
__POOL__,63,walk_forward,COVID,True,vix_zscore,0.0,vol
__POOL__,63,walk_forward,COVID,True,v2x_level,0.0,vol
__POOL__,63,walk_forward,COVID,True,vxn_level,0.0,vol
__POOL__,63,walk_forward,COVID,True,ovx_level,0.0,vol
__POOL__,63,walk_forward,COVID,True,gvz_level,0.003145503996434735,vol
__POOL__,63,walk_forward,COVID,True,spx_mom_1m,0.0,macro
__POOL__,63,walk_forward,COVID,True,spx_mom_3m,0.0,macro
__POOL__,63,walk_forward,COVID,True,sx5e_mom_1m,0.0,macro
__POOL__,63,walk_forward,COVID,True,sx5e_mom_3m,0.0,macro
__POOL__,63,walk_forward,COVID,True,mxwo_mom_1m,0.0002082552128942455,macro
__POOL__,63,walk_forward,COVID,True,ndx_mom_1m,0.0,macro
__POOL__,63,walk_forward,COVID,True,oil_mom_1m,0.0,macro
__POOL__,63,walk_forward,COVID,True,oil_mom_3m,0.013328794348706796,macro
__POOL__,63,walk_forward,COVID,True,copper_mom_1m,0.0,macro
__POOL__,63,walk_forward,COVID,True,opec_prod,0.0,macro
__POOL__,63,walk_forward,COVID,True,natgas_mom_1m,0.0,macro
__POOL__,63,walk_forward,COVID,True,be5y_level,0.0,macro
__POOL__,63,walk_forward,COVID,True,be10y_level,0.0,macro
__POOL__,63,walk_forward,COVID,True,be_slope,0.0,macro
__POOL__,63,walk_forward,COVID,True,be5y_chg_1m,0.0,macro
__POOL__,63,walk_forward,COVID,True,ig_spread,0.0,credit
__POOL__,63,walk_forward,COVID,True,hy_spread,0.0,credit
__POOL__,63,walk_forward,COVID,True,ig_chg_1m,0.0,credit
__POOL__,63,walk_forward,COVID,True,hy_chg_1m,0.0,credit
__POOL__,63,walk_forward,COVID,True,cpi_yoy,0.08815903177194552,macro
__POOL__,63,walk_forward,COVID,True,pce_core_chg,0.0,macro
__POOL__,63,walk_forward,COVID,True,nfp_change,0.01677475019897589,macro
__POOL__,63,walk_forward,COVID,True,pmi_us,0.00571995963434713,macro
__POOL__,63,walk_forward,COVID,True,pmi_eur,0.02575577030877979,macro
__POOL__,63,walk_forward,COVID,True,unemp_eur,0.010279129028977062,macro
__POOL__,63,walk_forward,COVID,True,cpi_nsa_level,0.0,macro
__POOL__,63,walk_forward,COVID,True,pce_core_level,0.0,macro
__POOL__,63,walk_forward,COVID,True,eur_3m,0.0014239795917193859,macro
__POOL__,63,walk_forward,COVID,True,eur_1w,0.0014043676875302505,macro
__POOL__,63,walk_forward,COVID,True,nor_ibor_1m,0.0014272893494575861,macro
__POOL__,63,walk_forward,COVID,True,nor_ibor_6m,0.0006351917771664027,macro
__POOL__,63,walk_forward,COVID,True,xmpca_01,0.0,cross_market
__POOL__,63,walk_forward,COVID,True,xmpca_02,0.0,cross_market
__POOL__,63,walk_forward,COVID,True,xmpca_03,0.0,cross_market
__POOL__,63,walk_forward,COVID,True,xmpca_04,0.0,cross_market
__POOL__,63,walk_forward,COVID,True,xmpca_05,0.0,cross_market
__POOL__,63,walk_forward,COVID,True,xmpca_06,0.0,cross_market
__POOL__,63,walk_forward,COVID,True,xmpca_07,0.0,cross_market
__POOL__,63,walk_forward,COVID,True,xmpca_08,0.0,cross_market
__POOL__,63,walk_forward,COVID,True,xmpca_09,0.0,cross_market
__POOL__,63,walk_forward,COVID,True,xmpca_10,0.0,cross_market
__POOL__,63,walk_forward,COVID,True,xmpca_11,0.0,cross_market
