horizon,scheme,fold,use_categoricals,cat_n_trees,cat_depth,best_n_est,learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected
252,walk_forward,GFC,True,145,4,145,0.1,6,1.0,0.8,5.0,5,1.8455698562007132,86,False
252,walk_forward,GFC,True,145,4,145,0.1,6,1.0,0.8,10.0,1,1.9000110583482404,132,False
252,walk_forward,GFC,True,145,4,145,0.1,6,1.0,0.8,10.0,5,1.9000110583482404,132,False
252,walk_forward,GFC,True,145,4,145,0.1,6,1.0,1.0,1.0,1,1.838283124866638,148,False
252,walk_forward,GFC,True,145,4,145,0.1,6,1.0,1.0,1.0,5,1.838283124866638,148,False
252,walk_forward,GFC,True,145,4,145,0.1,6,1.0,1.0,5.0,1,1.854038250084913,136,False
252,walk_forward,GFC,True,145,4,145,0.1,6,1.0,1.0,5.0,5,1.854038250084913,136,False
252,walk_forward,GFC,True,145,4,145,0.1,6,1.0,1.0,10.0,1,1.8478906762031473,113,False
252,walk_forward,GFC,True,145,4,145,0.1,6,1.0,1.0,10.0,5,1.8478906762031473,113,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,0.8,0.8,1.0,1,0.7906026874021272,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,0.8,0.8,1.0,5,0.7906026874021272,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,0.8,0.8,5.0,1,0.7906011168717698,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,0.8,0.8,5.0,5,0.7906011168717698,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,0.8,0.8,10.0,1,0.7905991589071756,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,0.8,0.8,10.0,5,0.7905991589071756,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,0.8,1.0,1.0,1,0.7877058935683089,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,0.8,1.0,1.0,5,0.7877058935683089,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.01,4,0.8,1.0,5.0,1,0.7877123547256082,1,False
