security,horizon,scheme,fold,use_categoricals,importance_type,feature,relevance,bucket,ntrees,depth,tau_w
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,cpi_yoy,0.0002844005563048396,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,pce_core_chg,0.0008474989020493817,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,nfp_change,7.951507665683588e-05,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,pmi_us,8.761977329398152e-05,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,pmi_eur,0.000563245650395644,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,unemp_eur,1.3050513346254955e-05,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,cpi_nsa_level,0.0001380218093941371,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,pce_core_level,0.0005449886627944683,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,eur_3m,0.0007056035882435779,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,eur_1w,0.0015614326387404232,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,nor_ibor_1m,0.00021714600582220522,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,nor_ibor_6m,6.202435666785577e-05,macro,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,xmpca_01,0.0003372217202152611,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,xmpca_02,0.00021685060367042375,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,xmpca_03,1.3893829494945886e-05,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,xmpca_04,0.0002807778339037337,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,xmpca_05,7.787325118968624e-06,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,xmpca_06,3.297915294450671e-05,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,xmpca_07,0.0001273342114014031,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,xmpca_08,5.432293965337842e-06,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,xmpca_09,2.9275683614271575e-05,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,xmpca_10,1.631777621820263e-05,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,xmpca_11,0.00031213236516909604,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,xmpca_12,0.00028132672741830456,cross_market,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,security,0.0012190497527522354,categorical,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,country,0.0012258204450807386,categorical,113,4,
__POOL__,1,walk_forward,GFC,True,LossFunctionChange,maturity,2.0147615933954754e-05,categorical,113,4,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,chg_lag1,1.8409942605362823,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,chg_lag2,0.515719891709862,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,chg_lag3,0.42605751959804566,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,chg_lag4,0.7272723734092089,momentum,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,chg_lag5,0.0,momentum,60,6,
